subject_id,MFD_eyes,MFD_nose,MFD_mouth,MFD_ears,MFD_skin_structure,MFD_hair,MFD_background,MFD_SD_eyes,MFD_SD_nose,MFD_SD_mouth,MFD_SD_ears,MFD_SD_skin_structure,MFD_SD_hair,MFD_SD_background,MFD_overall,MFD_overall_SD
participant_1,407.71349862258955,343.4343434343434,525.2525252525252,400.67340067340064,491.58249158249157,531.0245310245311,398.2683982683983,126.181625240758,14.284985478516115,355.1191077019585,103.77801351799623,248.15522926179497,230.32942956825815,123.81255104826917,473.800505050505,231.3241497392269
participant_2,333.33333333333337,472.22222222222223,454.5454545454545,0,387.7551020408163,448.051948051948,303.03030303030306,30.303030303030283,228.26662586642044,0.0,0,89.97241462952285,136.0885013819753,0.0,407.0332959221848,132.46822289291887
participant_3,571.7703349282297,643.939393939394,424.2424242424242,400.0,405.103668261563,502.16450216450215,538.7205387205388,281.11942429395225,390.05956551078793,128.94024198665224,61.806297134458006,113.47325937030786,341.63497241469884,343.66533461145934,499.2499249924992,257.4334355363084
participant_4,492.42424242424244,387.8787878787879,441.72494172494186,629.6296296296297,491.16161616161617,422.0779220779221,348.4848484848485,269.6586625842074,92.70944570168696,179.70274343862897,342.77351091244213,199.8582231387744,168.51174133464866,45.45454545454544,472.3265715001252,229.41785620875982
