x,y,time
731.959,358.209,843729922781
725.258,358.226,843729953040
720.17,357.446,843729983193
711.544,358.201,843730013432
702.007,359.442,843730043682
692.274,361.214,843730073844
685.911,362.095,843730104093
680.275,362.513,843730134246
675.358,363.219,843730164496
670.966,364.652,843730194648
669.033,364.065,843730224714
667.738,362.605,843730254963
665.71,361.261,843730285300
664.675,360.223,843730315453
663.367,359.122,843730345703
662.275,359.206,843730375874
661.529,359.428,843730406122
666.12,359.321,843730436459
680.935,357.281,843730466713
704.812,352.626,843730496844
729.275,348.667,843730527098
747.071,345.714,843730557255
759.522,342.175,843730587509
769.962,339.939,843730617653
778.832,339.333,843730647892
783.132,339.068,843730678050
785.53,338.262,843730708304
788.202,337.916,843730738369
789.658,337.772,843730768724
791.873,337.702,843730798988
793.094,336.973,843730829145
793.041,336.517,843730859399
793.617,336.75,843730889566
794.449,337.795,843730919723
794.795,337.856,843730949986
795.059,337.776,843730980222
795.572,337.627,843731010269
795.855,338.55,843731040615
796.915,349.48,843731070888
800.047,371.012,843731100962
804.411,391.696,843731131221
833.609,405.434,843731161373
866.832,410.587,843731191720
891.028,414.21,843731221887
906.689,416.906,843731252140
916.324,422.213,843731282297
920.896,422.656,843731312446
918.33,415.538,843731342700
915.966,409.994,843731372945
914.698,406.473,843731403000
913.749,403.766,843731433346
913.36,401.478,843731463513
912.803,398.85,843731493776
912.183,396.176,843731523934
912.592,395.623,843731554091
912.303,396.071,843731584364
912.543,396.664,843731614627
913.255,396.995,843731644785
913.428,397.385,843731675038
913.789,397.895,843731705195
914.022,398.227,843731735440
914.437,399.496,843731765607
915.052,403.047,843731795852
915.941,406.982,843731826087
917.125,410.373,843731856351
917.575,413.24,843731886508
914.552,416.924,843731916753
871.218,429.229,843731946919
812.254,447.164,843731977017
764.697,461.335,843732007354
734.419,467.014,843732037530
717.722,471.661,843732067692
716.231,479.649,843732097941
717.271,485.152,843732128117
718.602,489.87,843732158371
720.512,495.054,843732188437
722.661,498.609,843732218801
723.928,500.408,843732248875
724.317,501.422,843732279221
724.235,501.853,843732309397
724.799,501.942,843732339661
725.156,501.755,843732369896
725.029,501.612,843732400053
724.612,501.66,843732430316
724.429,501.517,843732460474
724.169,498.443,843732490737
723.037,490.025,843732520991
722.127,478.363,843732551149
721.754,466.925,843732581306
720.876,457.55,843732611560
718.273,451.101,843732641795
718.516,446.332,843732671962
719.974,442.535,843732702198
721.808,439.309,843732732452
724.3,437.129,843732762499
725.934,435.564,843732792845
717.551,414.628,843732823020
687.462,326.836,843732853160
662.034,246.121,843732883312
648.541,202.353,843732913368
643.485,184.812,843732943434
640.637,173.518,843732973771
638.549,169.524,843733003836
630.341,157.219,843733034085
617.95,140.939,843733064238
609.548,124.874,843733094575
603.747,115.422,843733124613
599.953,107.479,843733154950
596.04,103.608,843733185005
593.29,100.638,843733215352
592.533,96.4556,843733245417
592.105,94.7011,843733275561
593.31,93.3517,843733305898
594.64,91.2235,843733336138
593.801,88.6225,843733366176
592.664,87.7927,843733396328
591.342,86.6768,843733426656
589.601,84.8877,843733456731
614.049,81.4142,843733486980
657.608,78.7629,843733517046
699.533,75.4236,843733547401
729.484,71.6505,843733577457
749.27,71.9817,843733607803
762.248,71.6861,843733638140
771.765,72.0093,843733668293
778.167,73.2912,843733698358
782.639,73.6567,843733728589
786.939,74.2894,843733758963
787.93,74.4314,843733789125
788.767,73.7852,843733819374
