x,y,time
705.904,278.197,844393589853
700.644,274.645,844393619918
695.841,271.078,844393650264
692.717,269.429,844393680417
709.693,265.897,844393710763
728.904,262.614,844393741013
748.169,258.0,844393771060
764.533,253.539,844393801213
777.206,250.497,844393831480
788.497,249.761,844393861817
820.421,258.259,844393892048
849.82,267.599,844393922210
875.421,275.089,844393952266
897.851,279.433,844393982621
910.346,279.89,844394012871
918.944,279.702,844394043024
925.789,280.94,844394073274
931.216,283.086,844394103426
941.639,274.264,844394133588
978.515,204.838,844394163925
1015.11,124.594,844394193990
1038.7,69.8932,844394224258
1052.44,37.1792,844394254341
1064.72,20.4333,844394284678
1072.93,9.83638,844394314831
1075.23,8.07599,844394345108
1074.59,9.24029,844394375183
1075.28,10.0187,844394405548
1076.25,9.23918,844394435719
1077.46,9.70794,844394466005
1078.32,9.89984,844394496341
1086.7,5.32621,844394526407
1133.37,9.54253,844394828243
825.079,164.826,844394919217
786.941,183.486,844394949563
760.046,170.108,844394979909
745.937,160.19,844395009964
735.751,156.636,844395040012
729.657,157.673,844395070349
725.298,159.344,844395100396
722.148,161.474,844395130636
697.011,177.802,844395160770
655.243,290.21,844395191061
620.396,415.706,844395221204
599.111,484.594,844395251270
592.695,513.942,844395281598
588.161,524.802,844395311838
586.777,529.343,844395341981
586.915,532.318,844395372240
586.991,533.83,844395402384
587.313,535.248,844395432431
588.121,534.919,844395462768
588.476,535.18,844395492814
589.042,535.237,844395523142
591.765,535.38,844395553208
610.272,530.917,844395583438
635.685,525.208,844395613802
655.413,511.993,844395644130
663.762,486.116,844395674458
671.452,459.454,844395704601
676.447,438.465,844395734658
681.127,424.243,844395764908
683.592,415.939,844395795061
684.428,409.794,844395825406
682.345,397.648,844395855453
683.698,360.71,844395885693
685.004,324.933,844395915874
707.11,392.981,844396036393
711.181,380.715,844396066620
712.91,340.91,844396096910
710.341,290.418,844396127275
711.554,203.276,844396157621
712.836,108.848,844396187612
713.265,65.2097,844396217908
718.97,44.131,844396247794
714.675,33.1505,844396278397
712.046,26.4294,844396308399
715.057,28.6866,844396338791
715.193,30.637,844396368695
700.9,27.6895,844396399192
677.258,29.5531,844396429087
659.062,29.9328,844396459089
644.126,29.9669,844396489490
633.007,31.6577,844396519481
625.716,34.3992,844396550076
621.17,34.8681,844396579875
617.309,33.5831,844396610469
613.867,33.0012,844396640268
611.418,33.742,844396670862
609.009,35.771,844396700679
606.005,36.492,844396731273
604.973,36.0928,844396761054
604.57,36.3634,844396791648
656.693,77.6476,844396821562
764.307,178.566,844396852110
835.347,248.408,844396882723
872.144,285.049,844396913055
890.773,306.705,844396943314
902.644,318.719,844396973485
910.438,323.225,844397003794
912.89,324.017,844397034177
885.209,332.728,844397064532
860.489,339.095,844397094791
841.837,342.259,844397124907
827.853,345.825,844397155262
817.003,349.211,844397185636
808.638,355.06,844397215973
806.45,346.141,844397246365
805.385,338.786,844397276499
803.179,331.745,844397306748
803.205,323.965,844397337044
800.772,315.098,844397367362
775.116,310.379,844397397469
748.831,307.531,844397427815
728.446,303.11,844397457963
713.788,301.844,844397488115
699.602,297.622,844397518365
692.01,293.631,844397548610
683.791,291.07,844397578768
677.917,290.257,844397609003
673.862,289.995,844397639276
677.351,287.395,844397669414
680.242,286.402,844397699554
682.335,285.52,844397729807
684.787,285.365,844397759964
686.002,285.025,844397790218
687.678,284.654,844397820358
689.167,284.177,844397850515
689.873,284.668,844397880769
695.849,294.736,844397911024
706.907,315.851,844397941048
718.426,335.792,844397971531
727.955,353.664,844398001431
738.499,366.209,844398031837
743.411,376.89,844398061852
746.537,384.948,844398092354
749.581,390.231,844398122244
750.412,392.259,844398152650
748.255,391.326,844398182656
747.947,391.441,844398213062
747.515,390.67,844398242952
747.57,390.205,844398273455
747.719,389.944,844398303479
747.806,389.377,844398333765
747.719,389.269,844398363863
747.538,389.149,844398394277
747.288,389.084,844398424283
748.085,391.339,844398454588
749.724,396.025,844398484685
751.41,403.243,844398515101
752.677,411.584,844398545009
753.481,418.526,844398575530
754.107,422.063,844398605439
755.201,424.129,844398635942
756.457,425.763,844398665947
758.088,461.585,844398786513
761.665,480.649,844398816932
762.123,480.836,844398847315
761.055,474.306,844398877643
760.535,470.087,844398907676
760.744,468.189,844398938081
760.858,463.785,844398968077
772.397,460.353,844398998483
787.821,458.089,844399028728
802.596,457.9,844399058905
815.113,457.32,844399089061
825.673,455.387,844399119315
834.245,454.357,844399149569
839.198,453.415,844399179727
843.911,452.095,844399209981
846.696,450.481,844399240138
847.577,451.153,844399270392
838.796,455.553,844399300550
829.187,461.823,844399330555
813.933,471.845,844399360962
797.693,481.639,844399390999
783.925,489.759,844399421363
774.069,497.03,844399451626
767.894,502.848,844399481683
764.289,506.837,844399512011
750.93,506.595,844399542176
731.504,507.424,844399572348
716.533,507.63,844399602598
704.893,506.905,844399632750
695.694,506.662,844399662807
689.533,507.709,844399693153
685.964,508.769,844399723209
676.93,515.252,844399753555
665.105,529.249,844399783804
657.262,539.512,844399813842
649.874,547.216,844399844188
643.48,553.726,844399874488
639.146,559.614,844399904544
636.024,563.988,844399934890
633.753,568.501,844399965057
655.539,576.902,844399995210
696.41,587.307,844400025574
733.987,598.013,844400055837
763.943,606.485,844400085994
786.243,613.161,844400116248
803.119,617.549,844400146406
815.501,620.925,844400176563
820.388,623.129,844400206817
805.439,623.776,844400237071
792.846,623.026,844400267229
783.866,623.791,844400297483
776.17,624.55,844400327737
768.657,625.28,844400357895
760.755,626.377,844400388149
748.213,624.122,844400418305
737.596,620.432,844400448463
726.033,617.766,844400478620
718.558,616.753,844400508874
713.393,615.175,844400539027
708.144,613.635,844400569277
703.742,612.26,844400599333
701.926,611.839,844400629679
700.119,612.191,844400659832
691.265,619.248,844400690081
682.192,625.822,844400720114
674.869,632.339,844400750520
667.967,637.571,844400780517
661.276,643.469,844400810922
655.913,647.704,844400840918
651.986,650.638,844400871402
647.698,651.881,844400901330
665.893,653.577,844400931832
684.943,654.686,844400962009
704.886,656.5,844400992244
723.906,658.813,844401022401
740.252,660.279,844401052655
753.668,660.741,844401082813
763.734,661.252,844401113085
771.078,661.446,844401143242
775.779,660.556,844401173496
779.514,659.904,844401203635
781.941,659.743,844401233889
783.621,659.784,844401264143
802.515,654.891,844401294301
835.615,640.894,844401324325
863.468,628.654,844401354827
885.194,617.967,844401384984
900.447,610.956,844401415238
909.197,607.996,844401445396
913.908,606.317,844401475650
917.621,604.454,844401505807
924.051,594.701,844401535965
938.531,576.955,844401566219
947.801,561.729,844401596224
953.005,551.072,844401626631
958.266,544.384,844401656627
962.812,539.675,844401687032
964.57,536.729,844401716932
964.412,535.123,844401747435
963.225,534.148,844401777707
962.364,534.391,844401807864
947.159,538.077,844401838022
868.302,506.371,844401928443
819.539,489.008,844401958734
743.192,423.722,844401989062
692.042,387.641,844402079621
717.221,369.637,844402109875
738.845,328.598,844402140079
754.223,299.043,844402170333
761.399,282.088,844402200491
766.895,271.098,844402230546
768.603,265.979,844402260892
778.289,260.971,844402290930
785.945,258.163,844402321276
789.624,257.35,844402351452
792.821,255.749,844402381706
795.907,254.692,844402411863
798.855,253.636,844402442117
801.955,252.173,844402472174
803.93,250.771,844402502345
804.544,249.561,844402532594
805.806,247.743,844402562747
806.365,246.634,844402592996
807.098,245.286,844402623342
806.909,243.821,844402653380
807.965,244.319,844402683726
816.351,251.402,844402713920
831.133,264.235,844402744193
848.473,277.33,844402774447
864.53,289.178,844402804701
876.435,298.779,844402834757
884.051,305.575,844402865006
889.392,310.949,844402895269
898.322,307.556,844402925523
904.091,303.563,844402955681
908.065,301.501,844402985935
909.712,299.712,844403016092
911.484,298.625,844403046346
912.604,297.773,844403076504
913.003,297.252,844403106661
914.104,297.202,844403136916
903.482,298.617,844403167072
878.202,303.497,844403197326
845.468,309.759,844403227484
816.252,314.184,844403257720
792.104,316.689,844403287873
775.345,318.214,844403318121
763.667,318.945,844403348293
756.576,320.244,844403378638
752.318,321.045,844403408815
748.821,322.441,844403439069
761.407,319.912,844403469227
766.945,318.343,844403499282
774.201,316.133,844403529628
785.324,313.153,844403559781
798.411,309.546,844403590031
811.393,306.747,844403620303
821.425,303.682,844403650460
828.233,300.903,844403680613
831.945,214.336,844403710862
831.366,94.8372,844403740721
831.421,26.5461,844403770819
912.265,0.989452,844404224068
927.458,4.55624,844404254110
937.936,7.77897,844404284612
945.633,9.66808,844404314410
971.632,41.7771,844404345005
995.724,124.785,844404375470
1008.09,192.739,844404405371
1017.2,230.36,844404435873
1024.9,251.791,844404465672
1031.0,261.626,844404496266
1030.06,269.95,844404526175
1030.85,273.941,844404556677
1030.49,276.23,844404586577
1030.61,279.029,844404617080
1026.79,287.615,844404646988
1021.11,302.141,844404677491
1017.64,315.724,844404707496
1014.87,327.46,844404737902
1012.62,337.156,844404767812
1012.83,342.472,844404798314
1014.32,345.364,844404828320
1003.95,350.504,844404858725
924.921,349.693,844404888730
781.964,352.11,844404919035
677.747,354.774,844404949446
614.671,354.451,844404979599
578.839,352.272,844405009847
558.076,348.055,844405040000
545.764,343.942,844405070250
540.554,343.168,844405100403
537.485,343.97,844405130653
527.005,333.184,844405160805
517.006,321.767,844405190787
510.621,313.571,844405220761
505.068,307.819,844405251264
501.515,303.968,844405281269
498.794,300.371,844405311675
525.996,301.198,844405341483
604.365,313.665,844405372077
709.209,336.881,844405402515
789.196,351.008,844405432797
839.475,357.075,844405462954
866.017,362.496,844405493111
883.361,365.417,844405523365
889.561,369.176,844405553619
862.572,409.339,844405583529
836.706,445.103,844405614031
817.342,473.248,844405644188
805.905,489.41,844405674442
799.239,499.444,844405704696
794.293,508.097,844405734854
791.123,513.687,844405765108
785.153,544.772,844405795266
696.824,606.307,844405855649
745.991,578.196,844405886096
741.168,596.226,844405916166
736.999,590.359,844406006988
739.289,605.359,844406037104
739.002,595.507,844406067358
741.646,581.524,844406097515
744.459,570.294,844406127673
747.589,557.498,844406157831
751.15,549.259,844406188084
753.256,541.455,844406218241
756.387,535.631,844406248399
766.014,543.968,844406398859
766.795,545.921,844406429205
767.999,542.524,844406459588
767.98,538.451,844406489916
768.587,534.888,844406520262
769.434,530.649,844406550552
764.423,529.673,844406580710
760.46,529.813,844406610946
756.878,529.964,844406641103
752.512,530.169,844406671357
750.188,529.955,844406701514
747.662,530.125,844406731768
744.115,531.235,844406761926
741.358,532.038,844406792180
739.167,532.774,844406822337
737.829,533.401,844406852495
736.685,533.504,844406882749
735.26,533.066,844406913003
733.564,532.197,844406943160
731.84,531.839,844406973414
731.376,532.575,844407003571
730.708,532.894,844407033729
732.179,532.897,844407063983
733.826,533.037,844407094237
735.132,533.053,844407124394
736.141,533.051,844407154648
736.948,533.098,844407184806
737.553,533.321,844407214963
737.611,533.756,844407245217
737.689,534.122,844407275374
738.268,534.861,844407305628
738.784,536.182,844407335882
738.999,537.27,844407366058
739.412,537.996,844407396215
739.973,538.278,844407426469
740.384,538.236,844407456627
740.678,538.441,844407486863
741.164,539.047,844407517020
742.479,539.406,844407547274
743.647,539.581,844407577528
744.739,540.093,844407607781
746.363,540.55,844407637939
747.834,540.946,844407668193
749.44,541.195,844407698351
751.114,541.292,844407728605
753.021,541.566,844407758859
754.883,542.059,844407789016
756.791,542.899,844407819174
758.382,543.417,844407849428
759.964,544.179,844407879585
761.091,545.28,844407909838
761.609,546.562,844407939996
761.66,547.949,844407970250
761.837,548.795,844408000408
761.67,549.648,844408030662
762.098,550.605,844408060819
762.771,551.79,844408091073
762.834,553.402,844408121231
762.861,554.614,844408151485
763.432,555.888,844408181660
764.268,556.835,844408211914
764.346,557.957,844408242168
763.959,558.812,844408272326
763.605,559.547,844408302483
763.53,560.153,844408332738
763.509,560.634,844408362894
763.198,560.662,844408393148
763.106,560.348,844408423402
763.179,560.197,844408453560
763.341,560.212,844408483717
763.677,560.169,844408513971
760.43,564.117,844408544225
754.342,571.571,844408574383
747.349,580.742,844408604522
741.312,588.08,844408634795
736.658,592.966,844408665030
732.69,596.086,844408695187
729.917,598.022,844408725441
727.951,599.524,844408755599
726.537,600.271,844408785756
716.368,602.021,844408816009
694.525,606.199,844408846263
672.559,610.8,844408876536
654.067,614.683,844408906694
641.259,616.555,844408936948
632.696,617.358,844408967106
625.442,617.534,844408997341
625.593,594.506,844409027498
630.036,528.694,844409057752
638.889,455.582,844409087757
642.08,404.129,844409118164
640.195,374.849,844409148160
640.692,355.044,844409178565
639.674,344.433,844409208562
641.495,338.488,844409239064
641.759,335.288,844409268872
642.634,332.095,844409299371
650.89,328.957,844409329385
659.933,327.481,844409359790
665.635,326.444,844409389700
669.636,326.391,844409420202
672.069,325.431,844409450208
673.131,331.842,844409480613
732.1,403.518,844409631304
748.574,406.521,844409661687
769.126,395.796,844409692033
785.55,381.063,844409722314
800.936,365.442,844409752550
815.735,345.967,844409782707
835.579,320.659,844409812952
849.998,303.896,844409843109
859.307,295.132,844409873363
866.903,291.502,844409903521
870.93,289.906,844409933775
873.499,289.212,844409963932
876.144,288.688,844409994186
878.908,287.856,844410024431
879.755,285.736,844410054589
881.433,277.677,844410084843
878.63,220.522,844410114981
874.672,162.209,844410145157
868.834,120.138,844410175430
869.448,96.0076,844410205588
869.206,83.0119,844410235842
866.274,73.8628,844410265989
863.498,71.7766,844410296252
862.078,72.7929,844410326410
859.073,72.0085,844410356664
858.434,71.223,844410386821
859.153,71.2004,844410417075
859.188,71.1125,844410447233
860.448,69.5256,844410477487
828.236,67.3529,844410507635
768.149,64.4533,844410537540
709.875,64.1536,844410567540
663.524,66.5944,844410597923
632.766,66.7769,844410628030
613.481,66.889,844410657838
599.574,66.7793,844410688335
593.225,66.2832,844410718230
588.561,64.1148,844410748728
552.39,108.469,844410778762
528.097,188.766,844410809246
517.095,238.677,844410839652
510.272,269.629,844410869648
507.981,285.66,844410900151
505.084,297.732,844410929958
502.36,304.2,844410960552
501.093,308.77,844410990567
499.979,310.605,844411020872
499.116,312.005,844411050872
497.55,313.734,844411081384
496.708,314.665,844411111294
496.612,314.935,844411141796
496.047,314.727,844411171802
496.013,314.639,844411202208
494.855,329.575,844411232232
497.61,370.308,844411262113
498.541,410.747,844411292633
496.571,437.719,844411323040
494.144,454.269,844411353036
486.608,482.611,844411383423
469.446,563.502,844411413419
453.248,628.934,844411443425
443.994,663.498,844411473831
439.706,682.249,844411503837
433.978,691.401,844411534243
430.924,695.53,844411564248
467.166,698.051,844411594653
509.274,695.418,844411625156
531.004,696.695,844411655056
546.114,696.733,844411685558
556.982,697.513,844411715555
565.751,698.602,844411745960
573.541,698.605,844411775869
578.273,701.482,844411806372
580.928,703.184,844411836378
585.201,704.528,844411866784
582.841,702.479,844411896789
581.068,701.726,844411927195
581.475,700.947,844411957200
638.041,695.555,844411987606
722.202,688.218,844412018127
790.439,683.38,844412048124
836.131,678.827,844412078510
866.621,674.182,844412108507
886.053,669.083,844412138913
896.897,666.443,844412168841
900.546,666.267,844412199343
879.145,663.337,844412229349
864.99,659.625,844412259754
856.888,656.29,844412290022
848.92,653.508,844412320028
840.33,650.768,844412350433
832.003,650.109,844412380429
822.461,648.254,844412410932
804.923,656.926,844412531299
799.294,663.889,844412561645
793.588,657.104,844412592010
786.266,648.202,844412622356
781.435,640.059,844412652293
779.247,631.284,844412682795
777.298,625.794,844412712792
775.796,621.277,844412743197
773.318,618.557,844412773097
771.45,616.77,844412803599
770.151,614.759,844412833509
769.213,612.722,844412864011
768.951,614.094,844412893920
769.158,615.651,844412924422
769.5,616.508,844412954331
769.572,617.206,844412984834
769.811,617.804,844413014839
769.831,618.714,844413045245
769.721,620.085,844413075250
768.551,621.859,844413105656
766.083,585.533,844413135832
765.448,491.322,844413165723
763.362,412.499,844413196129
761.076,365.978,844413226125
758.735,339.742,844413256530
757.42,327.902,844413286527
758.791,321.962,844413317029
764.785,324.201,844413346837
750.005,325.69,844413377432
738.267,327.803,844413407713
729.588,329.502,844413437986
723.1,330.944,844413468144
721.283,331.458,844413498300
736.203,331.665,844413528458
756.646,331.001,844413558712
781.51,330.004,844413588850
805.297,328.698,844413619105
824.136,328.271,844413649359
838.419,328.465,844413679516
849.804,327.665,844413709770
858.69,326.234,844413739947
864.454,324.493,844413770201
867.134,323.799,844413800357
855.65,349.627,844413830611
833.937,389.187,844413860617
814.706,428.099,844413891023
801.325,457.145,844413920922
793.426,476.197,844413951425
787.298,545.231,844413981421
798.809,613.676,844414072243
787.138,620.066,844414102414
783.435,605.513,844414132668
782.694,595.29,844414162922
782.192,588.009,844414193176
781.42,574.745,844414223430
780.639,563.483,844414253588
779.023,554.808,844414283608
776.151,549.825,844414313862
775.007,547.502,844414344116
774.391,545.284,844414374370
773.887,543.417,844414404528
773.89,542.453,844414434782
774.116,541.938,844414464940
774.41,541.178,844414495096
773.914,540.287,844414525350
772.759,540.117,844414555508
774.733,539.591,844414585665
776.657,538.788,844414615919
778.363,538.081,844414646077
779.68,537.787,844414676331
780.921,537.154,844414706585
782.286,536.802,844414736742
783.298,536.37,844414766899
783.608,536.079,844414797153
784.001,535.654,844414827311
784.346,535.184,844414857565
785.259,535.088,844414887722
784.676,534.61,844414917976
783.837,533.905,844414948134
782.79,532.88,844414978388
781.711,531.548,844415008546
776.214,507.471,844415038800
760.814,456.888,844415068805
749.99,410.099,844415099210
741.803,379.151,844415129368
738.17,361.016,844415159622
735.546,351.185,844415189876
733.014,345.556,844415220033
730.387,342.263,844415250191
728.386,339.805,844415280445
760.041,334.021,844415310603
787.022,330.454,844415340856
806.36,328.106,844415371013
821.438,326.755,844415401267
833.986,323.965,844415431425
843.033,319.592,844415461679
850.439,315.226,844415491836
856.005,312.017,844415522090
860.214,309.751,844415552344
864.018,307.314,844415582502
867.057,305.534,844415612660
859.173,307.365,844415642914
850.979,308.829,844415673167
842.063,310.16,844415703440
830.336,311.861,844415733597
817.991,313.45,844415763755
805.547,316.179,844415793990
795.181,319.528,844415824147
786.918,322.627,844415854401
774.711,300.294,844415884559
761.437,245.12,844415914564
744.695,189.033,844415944474
731.287,149.835,844415974373
724.411,126.797,844416004378
720.762,113.134,844416034881
718.466,106.248,844416064790
717.863,104.782,844416095293
715.331,104.891,844416125201
732.673,118.694,844416155703
750.263,139.355,844416186206
786.591,183.681,844416216708
819.168,224.836,844416247115
840.902,253.831,844416277015
855.329,272.032,844416307517
864.072,283.293,844416337425
870.595,289.992,844416367928
872.947,294.035,844416397933
873.766,296.767,844416428340
873.534,298.142,844416458345
873.062,298.932,844416488751
872.768,299.636,844416518756
873.2,299.696,844416549162
873.623,300.11,844416579168
874.035,300.413,844416609574
873.847,300.155,844416639580
873.63,299.666,844416669985
873.298,299.208,844416699990
873.272,299.037,844416730397
873.833,298.941,844416760402
874.824,298.136,844416790302
876.29,297.042,844416820804
877.833,295.569,844416851306
879.799,294.072,844416881207
