x,y,time
765.141,459.215,844066344557
762.758,455.437,844066374614
758.964,448.648,844066404660
753.784,440.274,844066435015
749.135,431.323,844066465361
745.316,426.379,844066495418
741.566,422.102,844066525773
767.028,423.481,844066555829
796.956,427.34,844066585908
828.118,431.663,844066616282
854.682,435.972,844066646522
875.546,440.026,844066676666
876.743,452.352,844066706906
854.925,477.801,844066737022
831.351,504.493,844066767359
811.159,526.385,844066797429
795.037,544.128,844066827757
783.967,557.202,844066857803
776.86,567.694,844066888140
772.011,573.51,844066918196
797.065,563.109,844066948552
819.667,555.797,844066978631
840.638,550.191,844067008880
860.481,544.169,844067038955
876.151,539.106,844067069292
889.397,535.442,844067099637
899.239,531.439,844067129685
905.929,528.987,844067159934
914.657,522.227,844067190068
922.146,516.516,844067220377
929.027,512.688,844067250415
933.824,509.778,844067280761
936.394,508.387,844067310914
938.214,506.907,844067341163
939.632,506.113,844067371316
940.652,505.674,844067401566
941.165,504.995,844067431709
941.713,505.071,844067461977
942.622,504.757,844067492112
943.076,505.396,844067522370
943,506.901,844067552504
943.025,508.18,844067582782
943.079,509.042,844067613012
943.183,509.878,844067643165
942.832,510.747,844067673520
942.948,511.737,844067703577
942.915,512.563,844067733932
942.862,513.459,844067764085
941.471,514.957,844067794335
940.252,517.157,844067824460
938.995,518.591,844067854727
938.013,520.149,844067884898
937.24,522.152,844067915189
935.852,522.36,844067945264
934.937,522.993,844067975610
897.264,523.256,844068005675
810.421,526.478,844068036039
734.829,528.702,844068066087
683.779,530.657,844068096423
652.058,534.741,844068126471
633.691,536.127,844068156835
622.573,537.491,844068186970
616.385,538.976,844068217246
612.379,538.601,844068247302
609.289,538.004,844068277630
607.288,537.443,844068307723
603.195,538.152,844068338078
599.463,540.606,844068368116
597.445,541.744,844068398402
595.757,542.729,844068428748
594.345,543.268,844068458804
593.352,542.73,844068489150
592.696,542.771,844068519207
592.065,542.573,844068549562
591.75,542.584,844068579733
591.646,542.53,844068609973
591.64,542.374,844068640029
591.373,542.291,844068670375
609.134,551.764,844068700423
664.815,588.186,844068730769
720.405,626.716,844068760815
759.528,651.239,844068791074
782.743,667.312,844068821227
795.833,679.105,844068851564
833.28,700.919,844068881601
863.216,720.937,844068911965
881.839,735.349,844068942233
